"cwr_id","orig_record","sp","spp","var","auth"
603,"Ficus tikoua Bureau","Ficus tikoua",,,"Bureau"
604,"Ficus tricolor Miq.","Ficus tricolor",,,"Miq."
605,"Ficus trivia Corner","Ficus trivia",,,"Corner"
606,"Ficus tuphapensis Drake","Ficus tuphapensis",,,"Drake"
607,"Ficus vaccinioides Hemsl. & King","Ficus vaccinioides",,,"Hemsl. & King"
608,"Ficus variolosa Lindl. ex Benth.","Ficus variolosa",,,"Lindl. ex Benth."
609,"Fragaria _ ananassa Duchesne ex Rozier","Fragaria _",,,"ananassa Duchesne ex Rozier"
610,"Fragaria chiloensis (L.) Mill.","Fragaria chiloensis",,,"(L.) Mill."
611,"Fragaria chiloensis (L.) Mill. f. chiloensis ","Fragaria chiloensis",,,"(L.) Mill. f. chiloensis "
612,"Fragaria chiloensis f. patagonica Staudt","Fragaria chiloensis",,,"f. patagonica Staudt"
613,"Fragaria chiloensis subsp. lucida (E. Vilm. ex Gay) Staudt","Fragaria chiloensis","lucida",,"(E."
614,"Fragaria chiloensis subsp. pacifica Staudt","Fragaria chiloensis","pacifica",,"Staudt"
615,"Fragaria chiloensis subsp. sandwicensis (Decne.) Staudt","Fragaria chiloensis","sandwicensis",,"(Decne.)"
616,"Fragaria iturupensis Staudt","Fragaria iturupensis",,,"Staudt"
617,"Fragaria nilgerrensis Schltdl. ex J. Gay","Fragaria nilgerrensis",,,"Schltdl. ex J. Gay"
618,"Fragaria pentaphylla Losinsk.","Fragaria pentaphylla",,,"Losinsk."
619,"Fragaria virginiana Mill.","Fragaria virginiana",,,"Mill."
620,"Fragaria virginiana Mill. subsp. virginiana ","Fragaria virginiana","virginiana",,"Mill. subsp. virginiana "
621,"Fragaria virginiana subsp. glauca (S. Watson) Staudt","Fragaria virginiana","glauca",,"(S."
622,"Fragaria virginiana subsp. grayana (Vilm. ex J. Gay) Staudt","Fragaria virginiana","grayana",,"(Vilm."
623,"Fragaria virginiana subsp. platypetala (Rydb.) Staudt","Fragaria virginiana","platypetala",,"(Rydb.)"
624,"Glycine argyrea Tindale ","Glycine argyrea",,,"Tindale "
625,"Glycine canescens F. J. Herm.","Glycine canescens",,,"F. J. Herm."
626,"Glycine cyrtoloba Tindale","Glycine cyrtoloba",,,"Tindale"
627,"Glycine soja Siebold & Zucc.","Glycine soja",,,"Siebold & Zucc."
628,"Glycine tomentella Hayata","Glycine tomentella",,,"Hayata"
